Name,Distribution,Scatteredness
email-univ,"7(1), 2(2), 1(15) [1, 2, 1, 1, 1, 1, 15, 1, 1, 2]",0.6831654456654456
facebook,"7(1), 1(14), 2(2), 1(4), 1(3) [1, 14, 2, 2, 1, 1, 4, 1, 3, 1, 1, 1]",0.5849961670274171
oregon2_010331,"4(1), 1(5), 1(14) [1, 1, 1, 1, 5, 14]",0.7586956521739131
oregon1_010331,"7(1), 1(11), 1(5) [1, 11, 5, 1, 1, 1, 1, 1, 1]",0.6447377501725328
CA-CondMat,"19(1), 1(2), 1(7) [1, 1, 1, 2, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"9(1), 1(11), 1(3), 1(2) [1, 1, 11, 3, 1, 1, 1, 2, 1, 1, 1, 1]",0.5774617604617605
CA-AstroPh,"1(21), 2(2), 6(1) [21, 2, 1, 1, 1, 1, 1, 2, 1]",0.7633000512032769
Wiki-Vote,"1(25), 2(1) [25, 1, 1]",0.9567901234567902
Cit-HepTh,"1(2), 6(1), 2(3), 1(12) [2, 1, 1, 1, 3, 12, 1, 3, 1, 1]",0.609447496947497
inf-power,"17(1), 1(4), 2(3), 1(2) [1, 1, 1, 1, 1, 4, 1, 1, 1, 3, 1, 1, 1, 1, 1, 3, 1, 1, 1, 2, 1]",0.29524225418722055
cora,"24(1), 1(4) [1, 1, 1, 1, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.24342707777691094
inf-euroroad,"29(1), 2(2) [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"1(14), 9(1), 1(2) [14, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1]",0.6607950937950938
Cit-HepPh,"17(1), 1(4), 2(2), 1(3) [1, 1, 1, 1, 1, 4, 1, 1, 1, 2, 2, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.2938818585034308
inf-openflights,"2(1), 1(25) [1, 1, 25]",0.9567901234567902
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"12(1), 1(2), 2(5) [1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 5, 1, 1]",0.4021484302734303
California,"29(1), 1(2) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"4(1), 1(26), 1(3) [1, 26, 1, 1, 1, 3]",0.8621212121212121
Name,Distribution,Scatteredness
email-univ,"10(1), 3(2), 1(10) [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 10]",0.5128806023036793
facebook,"7(1), 1(14), 1(3), 1(4), 2(2) [1, 1, 14, 3, 1, 1, 1, 1, 4, 2, 2, 1]",0.5849961670274171
oregon2_010331,"4(1), 1(14), 1(5) [1, 14, 5, 1, 1, 1]",0.7586956521739131
oregon1_010331,"8(1), 1(12), 1(3) [1, 1, 1, 12, 1, 1, 1, 3, 1, 1]",0.6490855762594893
CA-CondMat,"1(7), 19(1), 1(2) [7, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
p2p-Gnutella24,"37(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.11355638442761261
caida,"7(1), 1(18) [1, 1, 1, 1, 18, 1, 1, 1]",0.7887142857142857
CA-AstroPh,"1(21), 2(2), 6(1) [21, 2, 1, 1, 1, 1, 1, 2, 1]",0.7633000512032769
Wiki-Vote,"2(1), 1(25) [1, 25, 1]",0.9567901234567902
Cit-HepTh,"6(1), 1(3), 1(15), 1(2) [1, 3, 1, 1, 1, 1, 15, 2, 1]",0.698550061050061
inf-power,"17(1), 1(4), 2(3), 1(2) [1, 1, 1, 4, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 3, 1, 1, 2, 1, 1]",0.29524225418722055
cora,"25(1), 1(3) [1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.20908641843625161
inf-euroroad,"29(1), 2(2) [1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]",0.16749227864959151
Email-Enron,"8(1), 1(17) [1, 1, 1, 1, 1, 1, 17, 1, 1]",0.7531587301587302
Cit-HepPh,"17(1), 2(2), 1(3), 1(4) [1, 1, 2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1]",0.2938818585034308
inf-openflights,"3(1), 1(24) [1, 24, 1, 1]",0.9290123456790123
bio-dmela,"25(1) [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.15263832711014028
as20000102,"2(5), 12(1), 1(2) [5, 5, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",0.4021484302734303
California,"29(1), 1(2) [1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.16112861712646423
bio-grid-fission-yeast,"1(23), 7(1), 1(3) [23, 1, 1, 1, 1, 1, 3, 1, 1]",0.7826960076960078
Name,Distribution,Scatteredness
email-univ,"10(1), 1(9), 1(3), 2(2) [1, 1, 1, 9, 3, 1, 1, 1, 1, 1, 1, 1, 2, 2]",0.49364983307291
facebook,"7(1), 1(3), 1(14), 1(4), 2(2) [1, 1, 1, 3, 14, 4, 1, 1, 1, 1, 2, 2]",0.5849961670274171
oregon2_010331,"4(1), 1(5), 1(14) [1, 1, 1, 1, 5, 14]",0.7586956521739131
oregon1_010331,"7(1), 1(9), 1(7) [1, 9, 7, 1, 1, 1, 1, 1, 1]",0.6012594893029676
CA-CondMat,"19(1), 1(2), 1(7) [1, 2, 1, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.3623342394558118
